1101,271
1107,55
1401,
1402,8
1403,
1404,17
1405,18
2101,383
2102,28
2103,24
2104,
2201,159
2202,11
2203,
2301,51
2302,23
3101,184
3102,87
3103,44
3201,78
3202,58
3301,114
3302,36
3303,20
3304,35
4101,230
4102,289
4103,35
4104,11
4105,19
4106,57
4201,47
4202,24
4203,44
4204,44
4301,
4302,32
4303,71
4304,20
4305,29
5101,649
5102,14
5103,42
5104,13
5105,44
5107,82
5109,718
5201,28
5301,92
5302,21
5303,23
5304,35
5401,37
5402,54
5403,36
5404,36
5405,66
5501,136
5502,
5503,40
5504,19
5506,43
5601,161
5602,49
5603,88
5604,90
5605,50
5606,94
5701,120
5702,46
5703,58
5704,26
5705,51
5706,30
5801,240
5802,57
5803,43
5804,
6101,275
6102,
6103,25
6104,44
6105,32
6106,35
6107,66
6108,74
6109,0
6110,48
6111,33
6112,30
6113,33
6114,32
6115,109
6116,57
6117,84
6201,66
6202,22
6203,28
6204,32
6205,9
6206,25
6301,63
6302,40
6303,49
6304,23
6305,32
6306,31
6307,38
6308,23
6309,16
6310,57
7101,221
7102,86
7103,45
7104,18
7105,26
7106,25
7107,34
7108,37
7109,
7110,20
7201,72
7202,36
7203,32
7301,263
7302,31
7303,32
7304,78
7305,23
7306,42
7307,44
7308,44
7309,29
7401,109
7402,38
7403,47
7404,80
7405,42
7406,85
7407,40
7408,42
8101,434
8102,161
8103,71
8104,33
8105,
8106,106
8107,90
8108,171
8109,45
8110,318
8111,114
8112,103
8201,39
8202,91
8203,47
8204,34
8205,53
8206,28
8207,26
8301,327
8302,20
8303,49
8304,45
8305,60
8306,68
8307,26
8308,21
8309,28
8310,21
8311,37
8312,27
8313,55
8314,23
9101,360
9102,48
9103,46
9104,38
9105,51
9106,
9107,46
9108,51
9109,75
9110,
9111,98
9112,105
9113,45
9114,43
9115,75
9116,47
9117,35
9118,34
9119,42
9120,106
9121,32
9201,102
9202,43
9203,35
9204,31
9205,30
9206,29
9207,31
9208,39
9209,30
9210,40
9211,74
10101,339
10102,51
10103,15
10104,26
10105,32
10106,29
10107,
10108,27
10109,102
10201,133
10202,76
10203,41
10204,26
10205,23
10206,
10207,26
10208,59
10209,33
10210,34
10301,216
10302,22
10303,49
10304,
10305,28
10306,17
10307,
10401,25
10402,15
10403,20
10404,22
11101,74
11102,
11201,56
11202,21
11203,10
11301,11
11302,8
11303,10
11401,18
11402,11
12101,281
12102,
12103,13
12104,16
12201,10
12301,30
12302,13
12303,10
12401,57
12402,19
13101,1356
13102,179
13103,233
13104,252
13105,226
13106,320
13107,250
13108,181
13109,167
13110,459
13111,186
13112,236
13113,
13114,716
13115,190
13116,198
13117,218
13118,288
13119,534
13120,404
13121,207
13122,294
13123,666
13124,269
13125,159
13126,192
13127,274
13128,120
13129,145
13130,253
13131,229
13132,408
13201,307
13202,57
13203,70
13301,110
13302,43
13303,41
13401,361
13402,107
13403,31
13404,147
13501,148
13502,
13503,66
13504,26
13505,25
13601,
13602,49
13603,35
13604,98
13605,97
14101,239
14102,26
14103,41
14104,
14105,30
14106,34
14107,49
14108,80
14201,65
14202,37
14203,28
14204,59
15101,419
15102,11
15201,20
15202,13
16101,183
16102,46
16103,34
16104,60
16105,22
16106,32
16107,44
16108,
16109,34
16201,
16202,
16203,33
16204,22
16205,29
16206,24
16207,
16301,19
16302,62
16303,22
16304,26
16305,33
